Class, Attribute Name, pluck, nativepluck, nativepluck_raw_to_sql, nativepluck_raw_string
Arel::Nodes::Top, updated_at,1,1,1,0
Arel::SelectManager, id,1,1,1,0
Arel::SelectManager, integer_col,1,1,1,0
Arel::SelectManager, string_col,1,1,1,0
Arel::SelectManager, datetime_col,1,1,1,0
Arel::SelectManager, float_col,1,1,1,0
Arel::SelectManager, json_col,1,1,1,0
Arel::SelectManager, jsonb_col,1,1,1,0
Arel::SelectManager, created_at,1,1,1,0
Arel::SelectManager, updated_at,1,1,1,0
MatchData, id,1,0,0,0
MatchData, integer_col,1,0,0,0
MatchData, string_col,1,0,0,0
MatchData, datetime_col,1011,0,0,0
MatchData, float_col,1,0,0,0
MatchData, json_col,1,0,0,0
MatchData, jsonb_col,1,0,0,0
MatchData, created_at,1011,0,0,0
MatchData, updated_at,1011,0,0,0
PG::Result, id,1,1,1,1
PG::Result, integer_col,1,1,1,1
PG::Result, string_col,1,1,1,1
PG::Result, datetime_col,1,1,1,1
PG::Result, float_col,1,1,1,1
PG::Result, json_col,1,1,1,1
PG::Result, jsonb_col,1,1,1,1
PG::Result, created_at,1,1,1,1
PG::Result, updated_at,1,1,1,1
PG::TypeMapByColumn, id,1,1,1,1
PG::TypeMapByColumn, integer_col,1,1,1,1
PG::TypeMapByColumn, string_col,1,1,1,1
PG::TypeMapByColumn, datetime_col,1,1,1,1
PG::TypeMapByColumn, float_col,1,1,1,1
PG::TypeMapByColumn, json_col,1,1,1,1
PG::TypeMapByColumn, jsonb_col,1,1,1,1
PG::TypeMapByColumn, created_at,1,1,1,1
PG::TypeMapByColumn, updated_at,1,1,1,1
Rational, datetime_col,2020,0,0,0
Rational, created_at,2020,0,0,0
Rational, updated_at,2020,0,0,0
JSON::Ext::Parser, json_col,1010,1010,1010,1010
JSON::Ext::Parser, jsonb_col,1010,1010,1010,1010
Arel::Collectors::SubstituteBinds, id,0,1,1,0
Arel::Collectors::SubstituteBinds, integer_col,0,1,1,0
Arel::Collectors::SubstituteBinds, string_col,0,1,1,0
Arel::Collectors::SubstituteBinds, datetime_col,0,1,1,0
Arel::Collectors::SubstituteBinds, float_col,0,1,1,0
Arel::Collectors::SubstituteBinds, json_col,0,1,1,0
Arel::Collectors::SubstituteBinds, jsonb_col,0,1,1,0
Arel::Collectors::SubstituteBinds, created_at,0,1,1,0
Arel::Collectors::SubstituteBinds, updated_at,0,1,1,0
